Date|Value
2008-06|4.00%
2008-05|4.00%
2008-04|3.90%
2008-03|3.90%
2008-02|3.80%
2008-01|3.90%
2007-12|3.70%
2007-11|3.80%
2007-10|4.00%
2007-09|3.90%
2007-08|3.70%
2007-07|3.60%
2007-06|3.70%
2007-05|3.80%
2007-04|3.80%
2007-03|4.00%
2007-02|4.00%
2007-01|4.00%
2006-12|4.00%
2006-11|4.00%
2006-10|4.10%
2006-09|4.10%
2006-08|4.10%
2006-07|4.10%
2006-06|4.30%
2006-05|4.10%
2006-04|4.10%
2006-03|4.10%
2006-02|4.10%
2006-01|4.40%
2005-12|4.40%
2005-11|4.50%
2005-10|4.40%
2005-09|4.20%
2005-08|4.30%
2005-07|4.40%
2005-06|4.30%
2005-05|4.50%
2005-04|4.50%
2005-03|4.50%
2005-02|4.60%
2005-01|4.50%
2004-12|4.50%
2004-11|4.50%
2004-10|4.60%
2004-09|4.60%
2004-08|4.80%
2004-07|4.90%
2004-06|4.70%
2004-05|4.70%
2004-04|4.80%
2004-03|4.80%
2004-02|5.00%
2004-01|4.90%
2003-12|4.90%
2003-11|5.10%
2003-10|5.10%
2003-09|5.20%
2003-08|5.10%
2003-07|5.20%
2003-06|5.40%
2003-05|5.40%
2003-04|5.50%
2003-03|5.40%
2003-02|5.20%
2003-01|5.40%
2002-12|5.40%
2002-11|5.20%
2002-10|5.40%
2002-09|5.40%
2002-08|5.50%
2002-07|5.40%
2002-06|5.50%
2002-05|5.40%
2002-04|5.30%
2002-03|5.30%
2002-02|5.30%
2002-01|5.20%
2001-12|5.40%
2001-11|5.40%
2001-10|5.30%
2001-09|5.30%
2001-08|5.10%
2001-07|5.00%
2001-06|5.00%
2001-05|4.90%
2001-04|4.80%
2001-03|4.80%
2001-02|4.70%
2001-01|4.80%
2000-12|4.80%
2000-11|4.70%
2000-10|4.70%
2000-09|4.70%
2000-08|4.60%
2000-07|4.70%
2000-06|4.70%
2000-05|4.60%
2000-04|4.80%
2000-03|4.90%
2000-02|4.90%
2000-01|4.70%
1999-12|4.70%
1999-11|4.60%
1999-10|4.60%
1999-09|4.60%
