Date|Change
1998-10-01|0.015
1998-11-01|0.015
1998-12-01|0.016
1999-01-01|0.017
1999-02-01|0.016
1999-03-01|0.017
1999-04-01|0.023
1999-05-01|0.021
1999-06-01|0.02
1999-07-01|0.021
1999-08-01|0.023
1999-09-01|0.026
1999-10-01|0.026
1999-11-01|0.026
1999-12-01|0.027
2000-01-01|0.027
2000-02-01|0.032
2000-03-01|0.038
2000-04-01|0.031
2000-05-01|0.032
2000-06-01|0.037
2000-07-01|0.037
2000-08-01|0.034
2000-09-01|0.035
2000-10-01|0.034
2000-11-01|0.034
2000-12-01|0.034
2001-01-01|0.037
2001-02-01|0.035
2001-03-01|0.029
2001-04-01|0.033
2001-05-01|0.036
2001-06-01|0.032
2001-07-01|0.027
2001-08-01|0.027
2001-09-01|0.026
2001-10-01|0.021
2001-11-01|0.019
2001-12-01|0.016
2002-01-01|0.011
2002-02-01|0.011
2002-03-01|0.015
2002-04-01|0.016
2002-05-01|0.012
2002-06-01|0.011
2002-07-01|0.015
2002-08-01|0.018
2002-09-01|0.015
2002-10-01|0.02
2002-11-01|0.022
2002-12-01|0.024
2003-01-01|0.026
2003-02-01|0.03
2003-03-01|0.03
2003-04-01|0.022
2003-05-01|0.021
2003-06-01|0.021
2003-07-01|0.021
2003-08-01|0.022
2003-09-01|0.023
2003-10-01|0.02
2003-11-01|0.018
2003-12-01|0.019
2004-01-01|0.019
2004-02-01|0.017
2004-03-01|0.017
2004-04-01|0.023
2004-05-01|0.031
2004-06-01|0.033
2004-07-01|0.03
2004-08-01|0.027
2004-09-01|0.025
2004-10-01|0.032
2004-11-01|0.035
2004-12-01|0.033
2005-01-01|0.03
2005-02-01|0.03
2005-03-01|0.031
2005-04-01|0.035
2005-05-01|0.028
2005-06-01|0.025
2005-07-01|0.032
2005-08-01|0.036
2005-09-01|0.047
2005-10-01|0.043
2005-11-01|0.035
2005-12-01|0.034
2006-01-01|0.04
2006-02-01|0.036
2006-03-01|0.034
2006-04-01|0.035
2006-05-01|0.042
2006-06-01|0.043
2006-07-01|0.041
2006-08-01|0.038
2006-09-01|0.021
2006-10-01|0.013
2006-11-01|0.02
2006-12-01|0.025
2007-01-01|0.021
2007-02-01|0.024
2007-03-01|0.028
2007-04-01|0.026
2007-05-01|0.027
2007-06-01|0.027
2007-07-01|0.024
2007-08-01|0.02
2007-09-01|0.028
2007-10-01|0.035
2007-11-01|0.043
2007-12-01|0.041
2008-01-01|0.043
2008-02-01|0.04
2008-03-01|0.04
2008-04-01|0.039
2008-05-01|0.042
2008-06-01|0.05
2008-07-01|0.056
2008-08-01|0.054
2008-09-01|0.049
2008-10-01|0.037
2008-11-01|0.011
2008-12-01|0.001
2009-01-01|0
2009-02-01|0.002
2009-03-01|-0.004
2009-04-01|-0.007
2009-05-01|-0.013
2009-06-01|-0.014
2009-07-01|-0.021
2009-08-01|-0.015
2009-09-01|-0.013
2009-10-01|-0.002
2009-11-01|0.018
2009-12-01|0.027
2010-01-01|0.026
2010-02-01|0.021
2010-03-01|0.023
2010-04-01|0.022
2010-05-01|0.02
2010-06-01|0.011
2010-07-01|0.012
2010-08-01|0.011
2010-09-01|0.011
2010-10-01|0.012
2010-11-01|0.011
2010-12-01|0.015
2011-01-01|0.016
2011-02-01|0.021
2011-03-01|0.027
2011-04-01|0.032
2011-05-01|0.036
2011-06-01|0.036
2011-07-01|0.036
2011-08-01|0.038
2011-09-01|0.039
2011-10-01|0.035
2011-11-01|0.034
2011-12-01|0.03
2012-01-01|0.029
2012-02-01|0.029
2012-03-01|0.027
2012-04-01|0.023
2012-05-01|0.018
2012-06-01|0.016
2012-07-01|0.016
2012-08-01|0.017
2012-09-01|0.019
2012-10-01|0.021
2012-11-01|0.019
2012-12-01|0.018
2013-01-01|0.016
2013-02-01|0.019
2013-03-01|0.016
2013-04-01|0.013
2013-05-01|0.014
2013-06-01|0.017
2013-07-01|0.02
2013-08-01|0.016
2013-09-01|0.012
2013-10-01|0.01
2013-11-01|0.013
2013-12-01|0.015
2014-01-01|0.016
2014-02-01|0.012
2014-03-01|0.014
2014-04-01|0.02
2014-05-01|0.02
2014-06-01|0.021
2014-07-01|0.02
2014-08-01|0.017
2014-09-01|0.017
2014-10-01|0.017
2014-11-01|0.013
2014-12-01|0.008
2015-01-01|-0.001
2015-02-01|0
2015-03-01|-0.001
2015-04-01|-0.002
2015-05-01|0
2015-06-01|0.001
2015-07-01|0.002
2015-08-01|0.002
2015-09-01|0
2015-10-01|0.002
2015-11-01|0.005
2015-12-01|0.007
2016-01-01|0.014
2016-02-01|0.01
2016-03-01|0.009
2016-04-01|0.011
2016-05-01|0.01
2016-06-01|0.01
2016-07-01|0.008
2016-08-01|0.011
2016-09-01|0.015
2016-10-01|0.016
2016-11-01|0.017
2016-12-01|0.021
2017-01-01|0.025
2017-02-01|0.027
2017-03-01|0.024
2017-04-01|0.022
2017-05-01|0.019
2017-06-01|0.016
2017-07-01|0.017
2017-08-01|0.019
2017-09-01|0.022
2017-10-01|0.02
2017-11-01|0.022
2017-12-01|0.021
2018-01-01|0.021
2018-02-01|0.022
2018-03-01|0.024
2018-04-01|0.025
2018-05-01|0.028
2018-06-01|0.029
2018-07-01|0.029
2018-08-01|0.027
2018-09-01|0.023
2018-10-01|0.025
2018-11-01|0.022
2018-12-01|0.019
2019-01-01|0.016
2019-02-01|0.015
2019-03-01|0.019
2019-04-01|0.02
2019-05-01|0.018
2019-06-01|0.016
2019-07-01|0.018
2019-08-01|0.017
2019-09-01|0.017
2019-10-01|0.018
2019-11-01|0.021
2019-12-01|0.023
2020-01-01|0.025
2020-02-01|0.023
2020-03-01|0.015
2020-04-01|0.003
2020-05-01|0.001
2020-06-01|0.006
2020-07-01|0.01
2020-08-01|0.013
2020-09-01|0.014
2020-10-01|0.012
2020-11-01|0.012
2020-12-01|0.014
2021-01-01|0.014
2021-02-01|0.017
2021-03-01|0.026
2021-04-01|0.042
2021-05-01|0.05
2021-06-01|0.054
2021-07-01|0.054
2021-08-01|0.053
2021-09-01|0.054
2021-10-01|0.062
2021-11-01|0.068
2021-12-01|0.07
2022-01-01|0.075
2022-02-01|0.079
2022-03-01|0.085
2022-04-01|0.083
2022-05-01|0.086
2022-06-01|0.091
2022-07-01|0.085
2022-08-01|0.083
2022-09-01|0.082
2022-10-01|0.077
2022-11-01|0.071
2022-12-01|0.065
2023-01-01|0.064
2023-02-01|0.06
