Date|Value
2020-06|0.60%
2020-07|0.60%
2020-08|0.40%
2020-09|0.20%
2020-10|0.00%
2020-11|0.20%
2020-12|0.40%
2021-01|0.30%
2021-02|0.40%
2021-03|0.60%
2021-04|0.80%
2021-05|0.60%
2021-06|0.90%
2021-07|0.50%
2021-08|0.30%
2021-09|0.40%
2021-10|0.90%
2021-11|0.80%
2021-12|0.50%
2022-01|0.60%
2022-02|0.80%
2022-03|1.20%
2022-04|0.30%
2022-05|1.00%
2022-06|1.30%
2022-07|0.00%
2022-08|0.10%
2022-09|0.40%
2022-10|0.40%
2022-11|0.10%
2022-12|-0.10%
2023-01|0.50%
2023-02|0.40%
