Date|Value
2017-09|0.50%
2017-10|0.10%
2017-11|0.00%
2017-12|0.30%
2018-01|0.60%
2018-02|1.20%
2018-03|-1.10%
2018-04|-0.20%
2018-05|-0.20%
2018-06|-0.10%
2018-07|0.30%
2018-08|0.70%
2018-09|0.70%
2018-10|0.20%
2018-11|-0.30%
2018-12|0.00%
2019-01|0.50%
2019-02|1.00%
2019-03|-0.40%
2019-04|0.10%
2019-05|0.00%
2019-06|-0.10%
2019-07|0.40%
2019-08|0.70%
2019-09|0.90%
2019-10|0.70%
2019-11|0.40%
2019-12|0.00%
2020-01|1.40%
2020-02|0.80%
2020-03|-1.20%
2020-04|-0.90%
2020-05|-0.80%
2020-06|-0.10%
2020-07|0.60%
2020-08|0.40%
2020-09|0.20%
2020-10|-0.30%
2020-11|-0.60%
2020-12|0.70%
2021-01|1.00%
2021-02|0.60%
2021-03|-0.50%
2021-04|-0.30%
2021-05|-0.20%
2021-06|-0.40%
2021-07|0.30%
2021-08|0.10%
2021-09|0.00%
2021-10|0.70%
2021-11|0.40%
2021-12|-0.30%
2022-01|0.40%
2022-02|0.60%
2022-03|0.00%
2022-04|0.40%
2022-05|-0.20%
2022-06|0.00%
2022-07|0.50%
2022-08|-0.10%
2022-09|0.30%
2022-10|0.10%
2022-11|-0.20%
2022-12|0.00%
2023-01|0.80%
2023-02|-0.50%
